ID,ImageID,OTUID,Assemblage,CSize,B1a_raw,B2a_raw,B3a_raw,L1a_raw,L2a_raw,L3a_raw,L4a_raw,Pp_raw,B2p_raw,B3p_raw,L2p_raw,L3p_raw,L4p_raw,B1a_cor,B2a_cor,B3a_cor,L1a_cor,L2a_cor,L3a_cor,L4a_cor,Pp_cor,B2p_cor,B3p_cor,L2p_cor,L3p_cor,L4p_cor
1298,1929,259,Wigber Low 26,2159,67,67,68,66,70,70,71,69,50,42,53,56,47,79.37,76.05,75.94,71.75,74.38,77.91,79.29,78.3,53.43,50.91,57.27,63.21,56.25
1297,1892,259,Wigber Low 26,1978,58,54,60,69,64,62,66,66,53,45,47,48,44,81.51,71.19,75.1,79.93,72.33,77.03,81.75,83.68,59.52,61.93,55.12,61.71,61.58
1296,1937,259,Wigber Low 26,2226,80,73,75,75,92,79,88,84,53,61,60,61,63,88.25,79.03,80.3,78.83,94.92,84.27,93.52,90.2,55.29,66.94,62.85,65.81,69.17
1295,1901,259,Wigber Low 26,2010,58,58,60,68,72,55,75,63,53,51,48,54,46,79.54,73.75,73.83,78.01,79.63,68.77,89.43,79.19,58.97,66.51,55.44,66.56,62.1
1294,1908,259,Wigber Low 26,2243,73,71,77,80,82,88,90,79,55,59,53,64,69,80.2,76.27,81.62,83.35,84.55,92.6,94.82,84.41,57.0,64.18,55.49,68.2,74.38
1293,1917,259,Wigber Low 26,2179,78,69,71,75,73,68,72,74,52,63,62,60,57,89.14,77.15,78.15,80.18,76.95,75.12,79.46,82.37,55.09,71.02,65.85,66.5,65.33
1292,1924,259,Wigber Low 26,2268,79,60,71,75,76,71,74,73,52,58,50,52,61,84.66,64.14,74.64,77.63,78.01,74.62,77.79,77.26,53.57,62.08,51.96,55.3,65.23
1291,1888,259,Wigber Low 26,2179,64,61,63,60,63,63,72,65,48,60,55,49,61,75.14,69.15,70.15,65.18,66.95,70.12,79.46,73.37,51.09,68.02,58.85,55.5,69.33
1290,1932,259,Wigber Low 26,2030,73,58,70,62,69,70,65,72,60,49,52,56,52,93.31,72.85,83.04,71.44,76.2,82.98,78.6,87.27,65.63,63.62,59.02,67.84,67.18
1289,1897,259,Wigber Low 26,2045,76,67,69,78,69,72,81,71,58,57,52,54,60,95.39,81.18,81.45,87.01,75.87,84.39,93.98,85.58,63.37,70.96,58.7,65.3,74.49
1288,1904,259,Wigber Low 26,2232,72,70,63,65,76,88,85,65,58,64,53,75,81,79.88,75.76,68.06,68.66,78.79,93.03,90.28,70.92,60.18,69.67,55.72,79.59,86.89
